method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
parc,0.3,15002,150,12,1349,378,189,all,1.0,independent,0.9952380952380953,0.9952380952380953,0.0090722999230244,1.0,0.949436119700407,0.3388265220000903,150.0,1.0,1.0,1.0,0.0,0.0,0.0018648687419308,0.0028317152103559,0.9947538337368844,0.997168284789644,1.0,1.0,1.0
no_repair,0.3,15000,150,12,1308,372,189,all,1.0,sybil,0.7504761904761905,0.7504761904761905,0.2862889864203999,0.6755555555555556,0.0,0.0774901559998397,150.0,1.0,1.0,1.0,0.0,0.0,0.2040910489080283,0.1299924642049736,0.6350385038503851,0.8700075357950263,0.0,0.0,0.0
majority,0.3,15000,150,12,1308,372,189,all,1.0,sybil,0.8904761904761904,0.8904761904761904,0.5709194721843713,0.8622222222222222,-0.9942069002473146,0.0974693940006545,150.0,1.0,1.0,1.0,0.0,0.0,0.0658258997231621,0.1262245666917859,0.8441936658172552,0.8737754333082141,0.0,0.0,0.0
iterative_truth,0.3,15000,150,12,1308,372,189,all,1.0,sybil,0.9628571428571427,0.9628571428571427,0.229506209224637,0.9933333333333332,0.1983407671588892,0.2495755449999706,150.0,1.0,1.0,1.0,0.0,0.0,0.0198400492156259,0.0595327807083647,0.9508571428571428,0.9404672192916352,0.0,0.0,0.0
source_dependence,0.3,15000,150,12,1308,372,189,all,1.0,sybil,0.8904761904761904,0.8904761904761904,0.2162771107051212,0.9111111111111112,0.2445496649754805,0.2320703680006772,150.0,1.0,1.0,1.0,0.0,0.0,0.0721316517994463,0.0644310474755086,0.8411246612466124,0.9355689525244912,0.2307692307692307,1.0,0.375
dependency_truth,0.3,15000,150,12,1308,372,189,all,1.0,sybil,0.9733333333333334,0.9733333333333334,0.1244706042381661,1.0,0.5652274095679399,0.6214583859991762,150.0,1.0,1.0,1.0,0.0,0.0,0.0153798831128883,0.0124340617935192,0.9632488055861816,0.9875659382064808,0.2307692307692307,1.0,0.375
parc,0.3,15000,150,12,1308,372,189,all,1.0,sybil,0.9761904761904762,0.9761904761904762,0.1224440450455579,1.0,0.5723061282359097,0.4515230019997034,150.0,1.0,1.0,1.0,0.0,0.0,0.0143032912949861,0.0116804822908816,0.965758468335788,0.9883195177091184,0.2307692307692307,1.0,0.375
no_repair,0.3,15001,150,12,1376,370,192,all,1.0,sybil,0.72,0.72,0.216111806761536,0.7422222222222222,0.0,0.0759279679996325,150.0,1.0,1.0,1.0,0.0,0.0,0.2385716270668334,0.1404517453798767,0.5493438320209973,0.8595482546201232,0.0,0.0,0.0
majority,0.3,15001,150,12,1376,370,192,all,1.0,sybil,0.9504761904761904,0.9504761904761904,0.1967170625746832,0.94,0.0897440286927659,0.0942495930003133,150.0,1.0,1.0,1.0,0.0,0.0,0.0379324718632763,0.0718685831622176,0.8922226608764311,0.9281314168377824,0.0,0.0,0.0
iterative_truth,0.3,15001,150,12,1376,370,192,all,1.0,sybil,0.998095238095238,0.998095238095238,0.0258393226294818,1.0,0.8804353958412199,0.2578988010000103,150.0,1.0,1.0,1.0,0.0,0.0,0.0006947339169098,0.0053388090349075,0.9979398434281004,0.9946611909650924,0.0,0.0,0.0
source_dependence,0.3,15001,150,12,1376,370,192,all,1.0,sybil,0.6190476190476191,0.6190476190476191,0.5556678963449714,0.5511111111111111,-1.571205639672021,0.2566013400000884,150.0,1.0,1.0,1.0,0.0,0.0,0.3330554397665694,0.2024640657084188,0.4475685641852961,0.7975359342915811,0.1636363636363636,1.0,0.28125
dependency_truth,0.3,15001,150,12,1376,370,192,all,1.0,sybil,0.9885714285714284,0.9885714285714284,0.0950493823900092,1.0,0.5601842221656613,0.4678551830002107,150.0,1.0,1.0,1.0,0.0,0.0,0.007503126302626,0.0082135523613963,0.9781287970838396,0.9917864476386036,0.1636363636363636,1.0,0.28125
parc,0.3,15001,150,12,1376,370,192,all,1.0,sybil,0.9876190476190476,0.9876190476190476,0.1085397860013055,1.0,0.497760961662444,0.4735378180002954,150.0,1.0,1.0,1.0,0.0,0.0,0.0088925941364457,0.0123203285420944,0.9740785743215876,0.9876796714579056,0.1636363636363636,1.0,0.28125
no_repair,0.3,15002,150,12,1349,379,189,all,1.0,sybil,0.9047619047619048,0.8926984126984129,0.1794225417288137,0.8977777777777778,0.0,0.0847976929999276,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0689705667008346,0.0393081761006289,0.8384219554030875,0.960691823899371,0.0,0.0,0.0
majority,0.3,15002,150,12,1349,379,189,all,1.0,sybil,0.9104761904761904,0.898336507936508,0.2424385578654588,0.94,-0.3512157141987762,0.1017511700001705,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0582808610338263,0.097877358490566,0.8522094318603788,0.902122641509434,0.0,0.0,0.0
iterative_truth,0.3,15002,150,12,1349,379,189,all,1.0,sybil,0.9657142857142856,0.9528380952380954,0.024608395607948,1.0,0.8628466893243432,0.310708670999702,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0164006443110265,0.0180817610062893,0.957088122605364,0.9819182389937108,0.0,0.0,0.0
source_dependence,0.3,15002,150,12,1349,379,189,all,1.0,sybil,0.6019047619047619,0.5938793650793652,0.5771973291136274,0.6822222222222223,-2.2169722017762186,0.2848658539996904,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.3666715478108068,0.1662735849056603,0.4585945945945946,0.8337264150943396,0.1363636363636363,1.0,0.24
dependency_truth,0.3,15002,150,12,1349,379,189,all,1.0,sybil,0.9333333333333332,0.920888888888889,0.1392477240893846,1.0,0.223911762994367,0.7706155679998119,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0434909942890613,0.0220125786163522,0.8933572710951526,0.9779874213836478,0.1363636363636363,1.0,0.24
parc,0.3,15002,150,12,1349,379,189,all,1.0,sybil,0.9333333333333332,0.920888888888889,0.1392477240893846,1.0,0.223911762994367,0.4608282939998389,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0434909942890613,0.0220125786163522,0.8933572710951526,0.9779874213836478,0.1363636363636363,1.0,0.24
