suite,dataset,budget,seed,method,margin_threshold,width_threshold,n_groups,certified_groups,certified_fraction,conditional_coverage,mean_certified_width,mean_relative_miss
public-tabular,breast_cancer,0.2,11,parc,0.0,0.05,2,2,1.0,0.5,0.0,0.0007453783509600533
public-tabular,breast_cancer,0.2,11,parc,0.0,0.1,2,2,1.0,0.5,0.0,0.0007453783509600533
public-tabular,breast_cancer,0.2,11,parc,0.0,0.25,2,2,1.0,0.5,0.0,0.0007453783509600533
public-tabular,breast_cancer,0.2,11,parc,0.0,0.5,2,2,1.0,0.5,0.0,0.0007453783509600533
public-tabular,breast_cancer,0.2,11,parc,0.0,1.0,2,2,1.0,0.5,0.0,0.0007453783509600533
public-tabular,breast_cancer,0.2,11,parc,1.0,0.01,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.0,0.02,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.0,0.05,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.0,0.1,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.0,0.25,2,1,0.5,1.0,0.17889626271283626,0.0
public-tabular,breast_cancer,0.2,11,parc,1.0,0.5,2,2,1.0,1.0,0.25864914838163594,0.0
public-tabular,breast_cancer,0.2,11,parc,1.0,1.0,2,2,1.0,1.0,0.25864914838163594,0.0
public-tabular,breast_cancer,0.2,11,parc,1.5,0.01,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.5,0.02,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.5,0.05,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.5,0.1,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,1.5,0.25,2,1,0.5,1.0,0.21822535754674607,0.0
public-tabular,breast_cancer,0.2,11,parc,1.5,0.5,2,2,1.0,1.0,0.28031432437175885,0.0
public-tabular,breast_cancer,0.2,11,parc,1.5,1.0,2,2,1.0,1.0,0.28031432437175885,0.0
public-tabular,breast_cancer,0.2,11,parc,2.0,0.01,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,2.0,0.02,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,2.0,0.05,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,2.0,0.1,2,0,0.0,0.0,,0.0
public-tabular,breast_cancer,0.2,11,parc,2.0,0.25,2,1,0.5,1.0,0.21822535754674607,0.0
public-tabular,breast_cancer,0.2,11,parc,2.0,0.5,2,2,1.0,1.0,0.28031432437175885,0.0
public-tabular,breast_cancer,0.2,11,parc,2.0,1.0,2,2,1.0,1.0,0.28031432437175885,0.0
public-tabular,breast_cancer,0.2,11,dependency_truth,0.0,0.01,3,3,1.0,0.0,0.0,192436.00207635495
public-tabular,breast_cancer,0.2,11,dependency_truth,0.0,0.02,3,3,1.0,0.0,0.0,192436.00207635495
public-tabular,breast_cancer,0.2,11,dependency_truth,0.0,0.05,3,3,1.0,0.0,0.0,192436.00207635495
public-tabular,breast_cancer,0.2,11,dependency_truth,0.0,0.1,3,3,1.0,0.0,0.0,192436.00207635495
public-tabular,breast_cancer,0.2,11,dependency_truth,0.0,0.25,3,3,1.0,0.0,0.0,192436.00207635495
public-tabular,breast_cancer,0.2,11,dependency_truth,0.0,0.5,3,3,1.0,0.0,0.0,192436.00207635495
public-tabular,breast_cancer,0.2,11,dependency_truth,0.0,1.0,3,3,1.0,0.0,0.0,192436.00207635495
public-tabular,breast_cancer,0.35,11,parc,0.0,0.01,6,6,1.0,0.0,0.0,267142.16805547895
public-tabular,breast_cancer,0.35,11,parc,0.0,0.02,6,6,1.0,0.0,0.0,267142.16805547895
public-tabular,breast_cancer,0.35,11,parc,0.0,0.05,6,6,1.0,0.0,0.0,267142.16805547895
public-tabular,breast_cancer,0.35,11,parc,0.0,0.1,6,6,1.0,0.0,0.0,267142.16805547895
public-tabular,breast_cancer,0.35,11,parc,0.0,0.25,6,6,1.0,0.0,0.0,267142.16805547895
public-tabular,breast_cancer,0.35,11,parc,0.0,0.5,6,6,1.0,0.0,0.0,267142.16805547895
public-tabular,breast_cancer,0.35,11,parc,0.0,1.0,6,6,1.0,0.0,0.0,267142.16805547895
public-tabular,breast_cancer,0.35,11,parc,1.0,0.01,6,3,0.5,0.0,0.0,414030.6666666667
public-tabular,breast_cancer,0.35,11,parc,1.0,0.02,6,3,0.5,0.0,0.0,414030.6666666667
public-tabular,breast_cancer,0.35,11,parc,1.0,0.05,6,3,0.5,0.0,0.0,414030.6666666667
public-tabular,breast_cancer,0.35,11,parc,1.0,0.1,6,3,0.5,0.0,0.0,414030.6666666667
public-tabular,breast_cancer,0.35,11,parc,1.0,0.25,6,3,0.5,0.0,0.0,414030.6666666667
public-tabular,breast_cancer,0.35,11,parc,1.0,0.5,6,3,0.5,0.0,0.0,414030.6666666667
public-tabular,breast_cancer,0.35,11,parc,1.0,1.0,6,4,0.6666666666666666,0.25,0.1678357998799609,414030.6666666667
public-tabular,breast_cancer,0.35,11,parc,1.5,0.01,6,1,0.16666666666666666,0.0,0.0,330028.0
public-tabular,breast_cancer,0.35,11,parc,1.5,0.02,6,1,0.16666666666666666,0.0,0.0,330028.0
public-tabular,breast_cancer,0.35,11,parc,1.5,0.05,6,1,0.16666666666666666,0.0,0.0,330028.0
public-tabular,breast_cancer,0.35,11,parc,1.5,0.1,6,1,0.16666666666666666,0.0,0.0,330028.0
public-tabular,breast_cancer,0.35,11,parc,1.5,0.25,6,1,0.16666666666666666,0.0,0.0,330028.0
public-tabular,breast_cancer,0.35,11,parc,1.5,0.5,6,1,0.16666666666666666,0.0,0.0,330028.0
