method,budget,seed,cluster,attribute,attribute_type,margin,margin_bin,independent_groups,filtered_claims,correct,incorrect,low_margin,has_independent_support,n_attacked_records,n_duplicates
parc,0.2,0,K:E00031,zip,categorical,1.7044462067257153,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00031,category,categorical,0.9156218490571719,"[0.75,1.5)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00031,revenue,numeric,0.4456178344354748,"[0.25,0.75)",3,1,1,0,1,1,379,102
parc,0.2,0,K:E00031,employees,numeric,0.4456178344354748,"[0.25,0.75)",4,0,1,0,1,1,379,102
parc,0.2,0,K:E00032,name,categorical,4.96798385571023,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00032,city,categorical,7.174995725958146,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00032,state,categorical,6.271454057654466,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00032,zip,categorical,4.275975988137379,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00032,category,categorical,5.245965980246986,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00032,revenue,numeric,1.91195663406572,"[1.5,3)",5,2,1,0,0,1,379,102
parc,0.2,0,K:E00032,employees,numeric,1.91195663406572,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00033,name,categorical,2.217708179520817,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00033,city,categorical,1.8704837331837145,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00033,state,categorical,2.5875473898242687,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00033,zip,categorical,2.986485297345258,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00033,category,categorical,2.8472340485139416,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00033,revenue,numeric,0.07577862413202335,"[0,0.25)",4,0,1,0,1,1,379,102
parc,0.2,0,K:E00033,employees,numeric,0.07577862413202335,"[0,0.25)",4,0,1,0,1,1,379,102
parc,0.2,0,K:E00034,name,categorical,5.8432530552247295,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00034,city,categorical,4.527476853847763,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00034,state,categorical,2.731963051150955,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00034,zip,categorical,4.00346898285465,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00034,category,categorical,6.734488724095679,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00034,revenue,numeric,1.91195663406572,"[1.5,3)",6,1,1,0,0,1,379,102
parc,0.2,0,K:E00034,employees,numeric,0.8084506989417621,"[0.75,1.5)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00035,name,categorical,7.1846487146871825,>=3,7,0,1,0,0,1,379,102
