method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1,operator_label
majority,0.25,9000,300,12,2289,59,0,name,1.0,coordinated,0.9990476190476192,0.9990476190476192,0.0126613346669297,1.0,0.8736353188941521,0.2165753019999101,300.0,1.0,1.0,1.0,0.0,0.0,0.0002851846570654,0.0020030045067601,0.9979969954932398,0.9979969954932398,0.0,0.0,0.0,name
dependency_truth,0.25,9000,300,12,2289,59,0,name,1.0,coordinated,0.998095238095238,0.998095238095238,0.0046903540596813,1.0,0.9531885768272744,0.5933971409995138,300.0,1.0,1.0,1.0,0.0,0.0,0.0009268501354627,0.0045067601402103,0.993503248375812,0.9954932398597895,1.0,1.0,1.0,name
parc,0.25,9000,300,12,2289,59,0,name,1.0,coordinated,0.998095238095238,0.998095238095238,0.0046903540596813,1.0,0.9531885768272744,0.8970209469998736,300.0,1.0,1.0,1.0,0.0,0.0,0.0009268501354627,0.0045067601402103,0.993503248375812,0.9954932398597895,1.0,1.0,1.0,name
majority,0.25,9001,300,12,2300,60,0,name,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0063463763279586,0.9955555555555556,0.9574354866861042,0.2092131069994138,300.0,1.0,1.0,1.0,0.0,0.0,0.0006645990252547,0.0054730258014073,0.9964747356051704,0.9945269741985928,0.0,0.0,0.0,name
dependency_truth,0.25,9001,300,12,2300,60,0,name,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0075045392802601,1.0,0.9496678032309448,0.6399966939998194,300.0,1.0,1.0,1.0,0.0,0.0,0.0012553537143701,0.0054730258014073,0.9933619679812572,0.9945269741985928,1.0,1.0,1.0,name
parc,0.25,9001,300,12,2300,60,0,name,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0075045392802601,1.0,0.9496678032309448,0.5979703650000374,300.0,1.0,1.0,1.0,0.0,0.0,0.0012553537143701,0.0054730258014073,0.9933619679812572,0.9945269741985928,1.0,1.0,1.0,name
majority,0.25,9002,300,12,2285,66,0,name,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0030659413977231,1.0,0.9743406205195986,0.2113507110007049,300.0,1.0,1.0,1.0,0.0,0.0,0.0004320587599913,0.0037950664136622,0.9971509971509972,0.9962049335863378,0.0,0.0,0.0,name
dependency_truth,0.25,9002,300,12,2285,66,0,name,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0015614174181784,1.0,0.9869322348789504,0.6389092489998802,300.0,1.0,1.0,1.0,0.0,0.0,0.0008641175199827,0.0028462998102466,0.9943235572374646,0.9971537001897534,1.0,1.0,1.0,name
parc,0.25,9002,300,12,2285,66,0,name,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0015614174181784,1.0,0.9869322348789504,0.6241943119994176,300.0,1.0,1.0,1.0,0.0,0.0,0.0008641175199827,0.0028462998102466,0.9943235572374646,0.9971537001897534,1.0,1.0,1.0,name
majority,0.25,9000,300,12,2289,160,0,outlier,1.0,coordinated,0.9947619047619048,0.9947619047619048,0.0505654208991907,1.0,0.9394674261789924,0.2150003980004839,300.0,1.0,1.0,1.0,0.0,0.0,0.001169676145917,0.0136518771331058,0.993127147766323,0.9863481228668942,0.0,0.0,0.0,outlier
